healpix_6,n_objetos
0,2619
1,2651
2,2592
3,2795
4,2818
5,2828
6,2689
7,2793
8,2660
9,2669
10,2762
11,2653
12,2801
13,2927
14,2677
15,2639
16,2822
17,2849
18,2656
19,2725
20,2826
21,2772
22,2731
23,2635
24,2757
25,2496
26,2563
27,2866
28,2690
29,2606
30,2622
31,2640
32,2758
33,2696
34,2777
35,2727
36,2762
37,2775
38,2824
39,2691
40,2788
41,2694
42,2408
43,2611
44,2727
45,2597
46,2690
47,2584
48,2821
49,2850
50,2707
51,2762
52,2747
53,2429
54,2595
55,2350
56,2656
57,2620
58,2601
59,2567
60,2456
61,2532
62,2554
63,2613
64,2818
65,2980
66,2679
67,2695
68,2699
69,2910
70,2758
71,3057
72,2602
73,2839
74,2438
75,2693
76,2821
77,3017
78,2833
79,3045
80,2924
81,3110
82,2934
83,2939
84,3126
85,3333
86,2808
87,3197
88,3184
89,3031
90,3064
91,3125
92,3044
93,3062
94,2957
95,3097
96,2384
97,2496
98,2315
99,2642
100,2845
101,2934
102,2825
103,2584
104,2685
105,2705
106,2821
107,2884
108,2660
109,2567
110,2935
111,2742
112,2644
113,2569
114,2268
115,2580
116,2866
117,3211
118,2795
119,3021
120,2194
121,2506
122,2606
123,2634
124,2533
125,3076
126,2844
127,3293
128,2551
129,2624
130,2760
131,2600
132,2480
133,2552
134,2616
135,2619
136,2746
137,2474
138,2584
139,2574
140,2578
141,2595
142,2559
143,2563
144,2597
145,2541
146,2567
147,2615
148,2660
149,2547
150,2635
151,2537
152,2497
153,2574
154,2524
155,2513
156,2675
157,2736
158,2662
159,2881
160,2430
161,2581
162,2502
163,2655
164,2593
165,2676
166,2622
167,2596
168,2559
169,2595
170,2626
171,2628
172,2698
173,2638
174,2708
175,2697
176,2754
177,2615
178,2758
179,2750
180,2705
181,2800
182,2809
183,2843
184,2752
185,2775
186,2735
187,2706
188,2819
189,2964
190,2850
191,2834
192,2598
193,2723
194,2628
195,2790
196,2774
197,2818
198,2877
199,2871
200,2838
201,2882
202,2996
203,3137
204,2903
205,3307
206,3462
207,3410
208,2728
209,2770
210,2980
211,3274
212,3169
213,3455
214,3274
215,3567
216,3183
217,3174
218,3243
219,3278
220,3395
221,3708
222,3605
223,3701
224,2901
225,3010
226,2973
227,3133
228,3156
229,3209
230,3084
231,3431
232,2971
233,3010
234,2805
235,3095
236,3308
237,3322
238,3298
239,3321
240,3183
241,3557
242,3332
243,3385
244,3655
245,3757
246,3555
247,3775
248,3319
249,3247
250,3244
251,3398
252,3422
253,3646
254,3276
255,3537
256,3800
257,4102
258,3332
259,3541
260,4027
261,4237
262,3831
263,4153
264,3279
265,3304
266,3212
267,3511
268,3585
269,4212
270,3741
271,3956
272,4805
273,4696
274,4498
275,4514
276,5041
277,5374
278,4760
279,5117
280,4452
281,4459
282,4237
283,4643
284,4830
285,5309
286,4884
287,5342
288,3179
289,3510
290,3293
291,3394
292,3655
293,3801
294,3588
295,4036
296,3476
297,3609
298,3533
299,3833
300,3756
301,4224
302,3953
303,4256
304,4077
305,4302
306,4112
307,4409
308,4824
309,4890
310,4924
311,5241
312,4483
313,4830
314,4571
315,4834
316,4958
317,5066
318,4944
319,5003
320,4992
321,5399
322,5457
323,5455
324,5362
325,5706
326,5371
327,5643
328,5478
329,5451
330,5285
331,5440
332,5373
333,5940
334,5914
335,6296
336,6234
337,7799
338,6493
339,7417
340,7207
341,7371
342,7313
343,8347
344,6057
345,6722
346,6297
347,6738
348,7872
349,9075
350,7430
351,8175
352,5017
353,5594
354,5439
355,5680
356,6279
357,6979
358,6597
359,7060
360,5624
361,6111
362,5534
363,6179
364,6505
365,7322
366,6754
367,7256
368,7176
369,7323
370,7893
371,7681
372,7095
373,8805
374,7348
375,8621
376,7920
377,8069
378,8028
379,8293
380,8676
381,8895
382,9459
383,9307
384,3763
385,3965
386,3929
387,3933
388,4230
389,4273
390,4291
391,4373
392,3945
393,4086
394,3894
395,4146
396,4213
397,4487
398,4256
399,4470
400,4613
401,4886
402,4695
403,4784
404,4801
405,4773
406,5062
407,5114
408,4745
409,4741
410,4644
411,4595
412,4898
413,5260
414,4727
415,5313
416,3908
417,4157
418,4020
419,4141
420,4297
421,4352
422,4208
423,4349
424,4084
425,3873
426,3848
427,3691
428,3807
429,4286
430,4090
431,4134
432,4590
433,4537
434,4358
435,4511
436,4968
437,5107
438,4932
439,5374
440,4209
441,4389
442,4133
443,4718
444,4972
445,5530
446,4881
447,5387
448,5506
449,6048
450,5404
451,5948
452,7123
453,7338
454,6704
455,7402
456,5330
457,5423
458,5467
459,5766
460,6288
461,7065
462,6218
463,6528
464,7893
465,8779
466,8205
467,8981
468,9641
469,9641
470,9723
471,9456
472,8344
473,9217
474,7872
475,9036
476,9571
477,10102
478,9563
479,10392
480,5064
481,5779
482,5262
483,5800
484,6288
485,7084
486,6465
487,6979
488,5387
489,6429
490,5895
491,6575
492,6847
493,7204
494,6810
495,7185
496,7818
497,8559
498,7752
499,8569
500,9849
501,10658
502,9734
503,10658
504,7934
505,8723
506,7865
507,8643
508,9656
509,10298
510,9235
511,9540
512,2642
513,2700
514,2669
515,2601
516,2683
517,2642
518,2512
519,2531
520,2621
521,2556
522,2472
523,2423
524,2589
525,2628
526,2765
527,2603
528,2712
529,2708
530,2677
531,2805
532,2659
533,2773
534,2668
535,2777
536,2626
537,2658
538,2825
539,2770
540,2692
541,2732
542,2734
543,2802
544,2578
545,2632
546,2679
547,2669
548,2716
549,2880
550,2821
551,2859
552,2710
553,2870
554,2954
555,2793
556,2759
557,2901
558,2747
559,2953
560,2912
561,2902
562,2759
563,2834
564,2775
565,2922
566,3012
567,3020
568,2904
569,2789
570,2899
571,2900
572,3081
573,3066
574,3065
575,2984
576,2801
577,3120
578,2756
579,3028
580,3312
581,3261
582,3292
583,3368
584,2611
585,2765
586,2441
587,2815
588,3292
589,3436
590,3285
591,3515
592,3509
593,3510
594,3550
595,3573
596,3348
597,2555
598,3387
599,2906
600,3412
601,3573
602,3472
603,3720
604,3664
605,3344
606,3735
607,3359
608,2805
609,2966
610,2785
611,2962
612,3080
613,3398
614,3213
615,3464
616,2827
617,2821
618,2906
619,3005
620,3165
621,3486
622,3443
623,3475
624,3634
625,3511
